lat,long,elev
404464972,-798482002,3426
404464968,-798482015,3425
404464969,-798482023,3425
404464973,-798482029,3425
404464973,-798482029,3425
404464973,-798482037,3425
404464975,-798482045,3425
404464975,-798482050,3425
404464975,-798482055,3425
404464977,-798482059,3425
404464977,-798482066,3425
404464977,-798482066,3425
404464977,-798482069,3427
404464977,-798482070,3427
404464976,-798482076,3428
404464976,-798482080,3428
404464976,-798482080,3428
404464979,-798482088,3427
404464981,-798482104,3427
404464983,-798482115,3427
404464985,-798482127,3427
404464987,-798482148,3427
404464990,-798482228,3427
404464992,-798482261,3428
404464995,-798482299,3427
404464997,-798482336,3427
404464995,-798482384,3427
404464995,-798482384,3427
404464978,-798482527,3427
404464975,-798482591,3426
404464959,-798482702,3426
404464951,-798482764,3426
404464925,-798482887,3427
404464911,-798482950,3427
404464911,-798482950,3427
404464875,-798483079,3426
404464858,-798483122,3425
404464833,-798483192,3424
404464833,-798483192,3424
404464809,-798483259,3424
404464781,-798483326,3424
404464750,-798483390,3424
404464718,-798483458,3424
404464682,-798483523,3424
404464601,-798483652,3424
404464557,-798483719,3423
404464464,-798483838,3424
404464363,-798483959,3423
404464307,-798484022,3423
404464256,-798484073,3422
404464195,-798484128,3422
404464135,-798484184,3421
404464075,-798484236,3421
404464010,-798484287,3421
404463949,-798484341,3423
404463746,-798484481,3422
404463746,-798484481,3422
404463467,-798484665,3420
404463049,-798484938,3417
404462978,-798484984,3417
404462907,-798485031,3416
404462767,-798485127,3415
404462697,-798485181,3415
404462631,-798485231,3414
404462574,-798485281,3412
404462503,-798485336,3412
404462372,-798485454,3411
404462302,-798485515,3410
404462244,-798485578,3409
404462114,-798485706,3408
404462051,-798485772,3407
404461930,-798485910,3406
404461814,-798486063,3404
404461762,-798486137,3403
404461648,-798486292,3402
404461544,-798486455,3401
404461435,-798503896,3434
404461436,-798504152,3435
404451359,-798500787,3474
404451391,-798500527,3474
404451423,-798500264,3474
404451452,-798500000,3474
404451598,-798498704,3472
404451629,-798498439,3472
404451658,-798498179,3472
404451687,-798497917,3472
404451715,-798497652,3472
404451744,-798497387,3472
404451837,-798496596,3471
404451865,-798496328,3471
404451924,-798495800,3471
404452290,-798492626,3468
404452323,-798492358,3467
404452737,-798488673,3465
404452871,-798487358,3464
404452897,-798487096,3465
404452921,-798486833,3465
404452973,-798486311,3465
404453042,-798485518,3465
404453088,-798484995,3464
404453177,-798483947,3464
404453196,-798483683,3464
404453254,-798482894,3463
404453307,-798482103,3463
404453324,-798481841,3463
404453339,-798481573,3462
404453353,-798481311,3462
404453368,-798481044,3462
404453392,-798480509,3461
404453405,-798480241,3461
404453417,-798479971,3461
404453438,-798479431,3461
404453460,-798478888,3459
404453475,-798478616,3459
404453490,-798478067,3460
404453497,-798477790,3459
404453510,-798477517,3459
404453522,-798476954,3458
404453522,-798476954,3458
404453531,-798476677,3458
404453534,-798476397,3458
404453542,-798475838,3457
404453545,-798475269,3457
404453545,-798475269,3457
404453547,-798474411,3457
404453545,-798474126,3456
404453544,-798473833,3456
404453542,-798473546,3455
404453539,-798473254,3455
404453539,-798473254,3455
404453524,-798472670,3455
404453524,-798472670,3455
404453519,-798472375,3455
404453516,-798472088,3454
404453501,-798471491,3454
404453491,-798471198,3453
404453483,-798470897,3453
404453472,-798470595,3453
404453463,-798470299,3453
404453456,-798470001,3452
404453437,-798469695,3452
404453421,-798469394,3452
404453388,-798468786,3451
404453368,-798468483,3451
404453347,-798468177,3451
404453302,-798467569,3450
404453279,-798467264,3450
404453257,-798466959,3450
404453231,-798466653,3450
404453205,-798466347,3450
404453205,-798466347,3450
404453179,-798466043,3449
404453151,-798465736,3449
404453124,-798465434,3449
404453095,-798465123,3448
404453069,-798464805,3448
404453036,-798464509,3447
404453002,-798464210,3447
404452965,-798463911,3447
404452926,-798463604,3447
404452887,-798463299,3447
404452848,-798462999,3447
404452810,-798462693,3447
404452770,-798462398,3446
404452731,-798462095,3446
404452687,-798461790,3446
404452644,-798461492,3446
404452601,-798461192,3446
404452503,-798460595,3445
404452456,-798460292,3445
404452409,-798459995,3444
404452360,-798459699,3443
404452310,-798459393,3444
404452258,-798459092,3444
404452204,-798458794,3443
404452150,-798458492,3443
404452150,-798458492,3443
404452095,-798458195,3442
404452040,-798457900,3443
404451925,-798457298,3442
404451812,-798456692,3442
