lat,long,elev
399887998,-794223171,4168
399887870,-794222921,4168
399887589,-794222414,4168
399887522,-794222286,4168
399887319,-794221884,4171
399887252,-794221750,4171
399887121,-794221497,4171
399887053,-794221368,4172
399886981,-794221234,4172
399886912,-794221110,4172
399886872,-794221003,4174
399886795,-794220888,4176
399886711,-794220773,4177
399886632,-794220651,4178
399886549,-794220522,4178
399886474,-794220408,4179
399886396,-794220290,4179
399886319,-794220174,4179
399886244,-794220061,4179
399886169,-794219950,4179
399886169,-794219777,4185
399886089,-794219666,4186
399886021,-794219545,4186
399885945,-794219436,4186
399885884,-794219315,4186
399885812,-794219190,4186
399885759,-794219073,4186
399885689,-794218961,4187
399885615,-794218853,4188
399885545,-794218748,4188
399885490,-794218627,4188
399885461,-794218509,4190
399885398,-794218394,4191
399885337,-794218284,4191
399885279,-794218177,4191
399885217,-794218070,4190
399885158,-794217959,4191
399885068,-794217865,4187
399885005,-794217757,4187
399884940,-794217649,4187
399884939,-794217497,4201
399884870,-794217394,4198
399884810,-794217289,4199
399884750,-794217182,4199
399884682,-794217072,4200
399884622,-794216968,4200
399884557,-794216874,4199
399884496,-794216772,4200
399884434,-794216663,4200
399884381,-794216575,4201
399884328,-794216477,4202
399884279,-794216383,4202
399884224,-794216288,4202
399884167,-794216192,4202
399884105,-794216103,4204
399884048,-794216001,4206
399884013,-794215893,4206
399883965,-794215791,4207
399883918,-794215692,4208
399883848,-794215616,4206
399883799,-794215506,4208
399883746,-794215418,4208
399883692,-794215327,4209
399883639,-794215242,4209
399883576,-794215155,4210
399883515,-794215068,4210
399883462,-794214965,4210
399883416,-794214863,4210
399883358,-794214776,4209
399883301,-794214683,4209
399883275,-794214598,4210
399883231,-794214512,4212
399883182,-794214426,4213
399883128,-794214336,4213
399883086,-794214249,4215
399883037,-794214162,4215
399883000,-794214041,4216
399882952,-794213959,4216
399882896,-794213900,4217
399882845,-794213791,4219
399882813,-794213693,4217
399882775,-794213601,4217
399882712,-794213518,4217
399882662,-794213428,4217
399882594,-794213347,4217
399882534,-794213261,4217
399882482,-794213170,4217
399882436,-794213072,4216
399882386,-794212992,4217
399882340,-794212890,4216
399882315,-794212791,4217
399882236,-794212696,4217
399882183,-794212603,4217
399882132,-794212510,4216
399882079,-794212417,4216
399882017,-794212325,4217
399881965,-794212224,4218
399881918,-794212145,4218
399881853,-794212065,4217
399881797,-794211984,4218
399881775,-794211876,4218
399881739,-794211780,4219
399881696,-794211691,4219
399881638,-794211600,4219
399881607,-794211500,4220
399881553,-794211422,4219
399881507,-794211340,4218
399881455,-794211250,4218
399881408,-794211156,4219
