lat,long,elev,timediff,,,,
404420347,-797608974,3285,1:48:12,,,,
404420347,-797608974,3285,48:12.0,,,,
404420347,-797608974,3285,48:12.0,,,,
404420347,-797608974,3285,48:12.1,,,,
404420347,-797608974,3285,48:12.1,,,,
404420347,-797608974,3285,48:12.5,,,,
404420347,-797608974,3285,48:12.5,,,,
404420347,-797608974,3285,48:12.5,,,,
404420347,-797608974,3285,48:12.5,,,,
404420347,-797608974,3285,48:12.5,,,,
404420347,-797608974,3285,48:13.0,,,,
404420347,-797608974,3285,48:13.0,,,,
404420347,-797608974,3285,48:13.0,,,,
404420347,-797608974,3285,48:13.0,,,,
404420347,-797608974,3285,48:13.0,,,,
404420347,-797608974,3285,48:13.5,,,,
404420347,-797608974,3285,48:13.5,,,,
404420347,-797608974,3285,48:13.5,,,,
404420347,-797608974,3285,48:13.5,,,,
404420347,-797608974,3285,48:13.5,,,,
404420347,-797608974,3285,48:13.9,,,,
404420347,-797608974,3285,48:13.9,,,,
404420347,-797608974,3285,48:14.0,,,,
404420347,-797608974,3285,48:14.0,,,,
404420347,-797608974,3285,01:48:14,,,,
404420347,-797608974,3285,48:14.4,,,,
404420347,-797608974,3285,48:14.4,,,,
404420347,-797608974,3285,48:14.4,,,,
404420347,-797608974,3285,48:14.4,,,,
404420347,-797608974,3285,48:14.5,,,,
404420348,-797608974,3285,48:14.9,,,,
404420348,-797608974,3285,48:14.9,,,,
404420348,-797608974,3285,48:14.9,,,,
404420348,-797608974,3285,48:14.9,,,,
404420348,-797608974,3285,01:48:15,,,,
404420348,-797608974,3285,48:15.4,,,,
404420348,-797608974,3285,48:15.4,,,,
404420348,-797608974,3285,48:15.4,,,,
404420348,-797608974,3285,48:15.4,,,,
404420348,-797608974,3285,48:15.5,,,,
404420348,-797608974,3285,48:15.9,,,,
404420348,-797608974,3285,48:15.9,,,,
404420348,-797608974,3285,48:15.9,,,,
404420348,-797608974,3285,48:15.9,,,,
404420348,-797608974,3285,48:16.0,,,,
404420348,-797608974,3285,48:16.4,,,,
404420348,-797608974,3285,48:16.4,,,,
404420348,-797608974,3285,48:16.4,,,,
404420348,-797608974,3285,48:16.4,,,,
404420348,-797608974,3285,48:16.5,,,,
404420348,-797608974,3285,48:16.6,,,,
404420348,-797608974,3285,48:16.7,,,,
404420348,-797608974,3285,48:16.7,,,,
404420348,-797608974,3285,48:16.8,,,,
404420348,-797608974,3285,48:17.0,,,,
404420348,-797608974,3285,48:17.1,,,,
404420348,-797608974,3285,48:17.2,,,,
404420348,-797608974,3285,48:17.2,,,,
404420348,-797608974,3285,48:17.4,,,,
404420348,-797608974,3285,48:17.5,,,,
404420348,-797608974,3285,48:17.5,,,,
404420348,-797608974,3285,48:17.7,,,,
404420348,-797608974,3285,48:17.8,,,,
404420348,-797608974,3285,48:17.9,,,,
404420348,-797608974,3285,48:18.0,,,,
404420348,-797608974,3285,48:18.1,,,,
404420348,-797608974,3285,48:18.1,,,,
404420348,-797608974,3285,48:18.2,,,,
404420348,-797608974,3285,48:18.4,,,,
404420348,-797608974,3285,48:18.4,,,,
404420348,-797608974,3285,48:18.5,,,,
404420348,-797608974,3285,48:18.6,,,,
404420348,-797608974,3285,48:18.7,,,,
404420348,-797608974,3285,48:18.9,,,,
404420348,-797608974,3285,48:19.0,,,,
404420348,-797608974,3285,48:19.0,,,,
404420348,-797608974,3285,48:19.2,,,,
404420348,-797608974,3285,48:19.3,,,,
404420348,-797608974,3285,48:19.4,,,,
404420348,-797608974,3285,48:19.5,,,,
404420348,-797608974,3285,48:19.6,,,,
404420348,-797608974,3285,48:19.7,,,,
404420348,-797608974,3285,48:19.8,,,,
404420348,-797608974,3285,48:19.9,,,,
404420348,-797608974,3285,48:20.0,,,,
404420348,-797608974,3285,48:20.1,,,,
404420348,-797608974,3285,48:20.1,,,,
404420348,-797608974,3285,48:20.2,,,,
404420348,-797608974,3285,48:20.4,,,,
404420348,-797608974,3285,48:20.5,,,,
404420348,-797608974,3285,48:20.6,,,,
404420348,-797608974,3285,48:20.7,,,,
404420348,-797608974,3285,48:20.8,,,,
404420348,-797608974,3285,48:20.9,,,,
404420348,-797608974,3285,48:21.0,,,,
404420348,-797608974,3285,48:21.0,,,,
404420348,-797608974,3285,48:21.1,,,,
404420348,-797608974,3285,48:21.3,,,,
404420348,-797608974,3285,48:21.4,,,,
404420348,-797608974,3285,48:21.5,,,,
404420348,-797608974,3285,48:21.6,,,,
404420348,-797608974,3285,48:21.7,,,,
404420348,-797608974,3285,48:21.8,,,,
404420348,-797608974,3285,48:21.8,,,,
404420348,-797608974,3285,48:21.9,,,,
404420348,-797608974,3285,48:22.0,,,,
404420348,-797608974,3285,48:22.1,,,,
404420348,-797608974,3285,48:22.2,,,,
404420348,-797608974,3285,48:22.3,,,,
404420348,-797608974,3285,48:22.4,,,,
404420348,-797608974,3285,48:22.5,,,,
404420348,-797608974,3285,48:22.6,,,,
404420348,-797608974,3285,48:22.7,,,,
404420348,-797608974,3285,48:22.8,,,,
404420348,-797608974,3285,48:22.9,,,,
404420348,-797608974,3285,01:48:23,,,,
404420348,-797608974,3285,48:23.1,,,,
404420348,-797608974,3285,48:23.2,,,,
404420348,-797608974,3285,48:23.3,,,,
404420348,-797608974,3285,48:23.4,,,,
404420348,-797608974,3285,48:23.5,,,,
404420348,-797608974,3285,48:23.6,,,,
404420348,-797608974,3285,48:23.7,,,,
404420348,-797608974,3285,48:23.8,,,,
404420348,-797608974,3285,48:23.9,,,,
404420348,-797608974,3285,01:48:24,,,,
404420348,-797608974,3285,48:24.1,,,,
404420348,-797608974,3285,48:24.2,,,,
404420348,-797608974,3285,48:24.3,,,,
404420348,-797608974,3285,48:24.4,,,,
404420348,-797608974,3285,48:24.5,,,,
404420348,-797608974,3285,48:24.6,,,,
404420348,-797608974,3285,48:24.7,,,,
404420348,-797608974,3285,48:24.8,,,,
404420348,-797608974,3285,48:24.9,,,,
404420348,-797608974,3285,01:48:25,,,,
404420348,-797608974,3285,48:25.1,,,,
404420348,-797608974,3285,48:25.2,,,,
404420348,-797608974,3285,48:25.3,,,,
404420348,-797608974,3285,48:25.4,,,,
404420348,-797608974,3285,48:25.5,,,,
404420348,-797608974,3285,48:25.6,,,,
404420348,-797608974,3285,48:25.7,,,,
404420348,-797608974,3285,48:25.8,,,,
404420348,-797608974,3285,48:25.9,,,,
404420348,-797608974,3285,01:48:26,,,,
404420348,-797608974,3285,48:26.1,,,,
404420348,-797608974,3285,48:26.2,,,,
404420348,-797608974,3285,48:26.3,,,,
404420348,-797608974,3285,48:26.4,,,,
404420348,-797608974,3285,48:26.5,,,,
404420348,-797608974,3285,48:26.6,,,,
404420348,-797608974,3285,48:26.7,,,,
404420348,-797608974,3285,48:26.8,,,,
404420348,-797608974,3285,48:26.9,,,,
404420348,-797608974,3285,01:48:27,,,,
404420348,-797608974,3285,48:27.1,,,,
404420348,-797608974,3285,48:27.2,,,,
404420348,-797608974,3285,48:27.3,,,,
404420348,-797608974,3285,48:27.4,,,,
404420348,-797608974,3285,48:27.5,,,,
404420348,-797608974,3285,48:27.6,,,,
404420348,-797608974,3285,48:27.7,,,,
404420348,-797608974,3285,48:27.8,,,,
404420348,-797608974,3285,48:27.9,,,,
404420348,-797608974,3285,01:48:28,,,,
404420348,-797608974,3285,48:28.1,,,,
404420348,-797608974,3285,48:28.2,,,,
404420348,-797608974,3285,48:28.3,,,,
404420348,-797608974,3285,48:28.4,,,,
404420348,-797608974,3285,48:28.5,,,,
404420348,-797608974,3285,48:28.6,,,,
404420348,-797608974,3285,48:28.7,,,,
404420348,-797608974,3285,48:28.8,,,,
404420348,-797608974,3285,48:28.9,,,,
404420348,-797608974,3285,01:48:29,,,,
404420348,-797608974,3285,48:29.1,,,,
404420348,-797608974,3285,48:29.2,,,,
404420348,-797608974,3285,48:29.3,,,,
404420348,-797608974,3285,48:29.4,,,,
404420348,-797608974,3285,48:29.5,,,,
404420348,-797608974,3285,48:29.6,,,,
404420348,-797608974,3285,48:29.7,,,,
404420348,-797608974,3285,48:29.8,,,,
404420348,-797608974,3285,48:29.9,,,,
404420348,-797608974,3285,48:30.0,,,,
404420348,-797608974,3285,48:30.1,,,,
404420348,-797608974,3285,48:30.2,,,,
404420348,-797608974,3285,48:30.3,,,,
404420348,-797608974,3285,48:30.4,,,,
404420348,-797608974,3285,48:30.5,,,,
404420348,-797608974,3285,48:30.6,,,,
404420348,-797608974,3285,48:30.7,,,,
404420348,-797608974,3285,48:30.8,,,,
404420348,-797608974,3285,48:30.9,,,,
404420348,-797608974,3285,01:48:31,,,,
404420348,-797608974,3285,48:31.1,,,,
404420348,-797608974,3285,48:31.2,,,,
404420348,-797608974,3285,48:31.3,,,,
404420348,-797608974,3285,48:31.4,,,,
404420348,-797608974,3285,48:31.5,,,,
404420348,-797608974,3285,48:31.6,,,,
404420348,-797608974,3285,48:31.7,,,,
404420348,-797608974,3285,48:31.8,,,,
404420348,-797608974,3285,48:31.9,,,,
404420348,-797608974,3285,01:48:32,,,,
404420348,-797608974,3285,48:32.1,,,,
404420348,-797608974,3285,48:32.2,,,,
404420348,-797608974,3285,48:32.3,,,,
404420348,-797608974,3285,48:32.4,,,,
404420348,-797608974,3285,48:32.5,,,,
404420348,-797608974,3285,48:32.6,,,,
404420348,-797608974,3285,48:32.7,,,,
404420348,-797608974,3285,48:32.8,,,,
404420348,-797608974,3285,48:32.9,,,,
404420348,-797608974,3285,01:48:33,,,,
404420348,-797608974,3285,48:33.1,,,,
404420348,-797608974,3285,48:33.2,,,,
404420348,-797608974,3285,48:33.3,,,,
404420348,-797608974,3285,48:33.4,,,,
404420348,-797608974,3285,48:33.5,,,,
404420348,-797608974,3285,48:33.6,,,,
404420348,-797608974,3285,48:33.7,,,,
404420348,-797608974,3285,48:33.8,,,,
404420348,-797608974,3285,48:33.9,,,,
404420348,-797608974,3285,01:48:34,,,,
404420348,-797608974,3285,48:34.1,,,,
404420348,-797608974,3285,48:34.2,,,,
404420348,-797608974,3285,48:34.3,,,,
404420348,-797608974,3285,48:34.4,,,,
404420348,-797608974,3285,48:34.5,,,,
404420348,-797608974,3285,48:34.6,,,,
404420348,-797608974,3285,48:34.7,,,,
404420348,-797608974,3285,48:34.8,,,,
404420348,-797608974,3285,48:34.9,,,,
404420348,-797608974,3285,01:48:35,,,,
404420348,-797608974,3285,48:35.1,,,,
404420348,-797608974,3285,48:35.2,,,,
404420348,-797608974,3285,48:35.3,,,,
404420348,-797608974,3285,48:35.4,,,,
404420348,-797608974,3285,48:35.5,,,,
404420348,-797608974,3285,48:35.6,,,,
404420348,-797608974,3285,48:35.7,,,,
404420348,-797608974,3285,48:35.8,,,,
404420348,-797608974,3285,48:35.9,,,,
404420348,-797608974,3285,01:48:36,,,,
404420348,-797608974,3285,48:36.1,,,,
404420348,-797608974,3285,48:36.2,,,,
404420348,-797608974,3285,48:36.3,,,,
404420348,-797608974,3285,48:36.4,,,,
404420348,-797608974,3285,48:36.5,,,,
404420348,-797608974,3285,48:36.6,,,,
404420348,-797608974,3285,48:36.7,,,,
404420348,-797608974,3285,48:36.8,,,,
404420348,-797608974,3285,48:36.9,,,,
404420348,-797608974,3285,01:48:37,,,,
404420348,-797608974,3285,48:37.1,,,,
404420348,-797608974,3285,48:37.2,,,,
404420348,-797608974,3285,48:37.3,,,,
404420348,-797608974,3285,48:37.4,,,,
404420348,-797608974,3285,48:37.5,,,,
404420348,-797608974,3285,48:37.6,,,,
404420348,-797608974,3285,48:37.7,,,,
404420348,-797608974,3285,48:37.8,,,,
404420348,-797608974,3285,48:37.9,,,,
404420348,-797608974,3285,01:48:38,,,,
404420348,-797608974,3285,48:38.1,,,,
404420348,-797608974,3285,48:38.2,,,,
404420348,-797608974,3285,48:38.3,,,,
404420348,-797608974,3285,48:38.4,,,,
404420348,-797608974,3285,48:38.5,,,,
404420348,-797608974,3285,48:38.5,,,,
404420348,-797608974,3285,48:38.6,,,,
404420348,-797608974,3285,48:38.7,,,,
404420348,-797608974,3285,48:38.8,,,,
404420348,-797608974,3285,48:38.9,,,,
404420348,-797608974,3285,48:39.0,,,,
404420348,-797608974,3285,48:39.1,,,,
404420348,-797608974,3285,48:39.2,,,,
404420348,-797608974,3285,48:39.3,,,,
404420348,-797608974,3285,48:39.4,,,,
404420348,-797608974,3285,48:39.5,,,,
404420348,-797608974,3285,48:39.6,,,,
404420348,-797608974,3285,48:39.7,,,,
404420348,-797608974,3285,48:39.8,,,,
404420348,-797608974,3285,48:39.9,,,,
404420348,-797608974,3285,48:40.0,,,,
404420348,-797608974,3285,48:40.1,,,,
404420348,-797608974,3285,48:40.2,,,,
404420348,-797608974,3285,48:40.3,,,,
404420348,-797608974,3285,48:40.4,,,,
404420348,-797608974,3285,48:40.5,,,,
404420348,-797608974,3285,48:40.6,,,,
404420348,-797608974,3285,48:40.7,,,,
404420348,-797608974,3285,48:40.8,,,,
404420348,-797608974,3285,48:40.9,,,,
404420348,-797608974,3285,48:41.0,,,,
404420348,-797608974,3285,48:41.1,,,,
404420348,-797608974,3285,48:41.5,,,,
404420348,-797608974,3285,48:41.5,,,,
404420348,-797608974,3285,48:41.5,,,,
404420348,-797608974,3285,48:41.5,,,,
404420347,-797608974,3285,48:42.0,,,,
404420347,-797608974,3285,48:42.0,,,,
404420347,-797608974,3285,48:42.0,,,,
404420347,-797608974,3285,48:42.0,,,,
404420347,-797608974,3285,48:42.0,,,,
404420347,-797608974,3285,48:42.4,,,,
404420347,-797608974,3285,48:42.4,,,,
404420347,-797608974,3285,48:42.5,,,,
404420347,-797608974,3285,48:42.5,,,,
404420347,-797608974,3285,48:42.5,,,,
