lat,long,elev
399949940,-794457854,4639
399949940,-794457854,4639
399949940,-794457854,4639
399949940,-794457854,4639
399949940,-794457854,4639
399949940,-794457854,4639
399949940,-794457854,4639
399949940,-794457854,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457861,4639
399949945,-794457862,4639
399949945,-794457862,4639
399949945,-794457862,4639
399949945,-794457862,4639
399949945,-794457862,4639
399949945,-794457862,4639
399949945,-794457862,4639
399949945,-794457862,4639
399949945,-794457862,4639
399949945,-794457862,4639
399949945,-794457862,4639
399949945,-794457862,4639
399949945,-794457862,4639
399949945,-794457862,4639
399949945,-794457862,4639
399949945,-794457862,4639
399949945,-794457862,4639
399949945,-794457862,4639
399949945,-794457862,4639
399949945,-794457862,4639
399949947,-794457874,4638
399949947,-794457874,4638
399949947,-794457874,4638
399949947,-794457874,4638
399949947,-794457874,4638
399949947,-794457874,4638
399949947,-794457874,4638
399949947,-794457874,4638
399949947,-794457874,4638
399949947,-794457874,4638
399949947,-794457874,4638
399949952,-794457886,4637
399949952,-794457886,4637
399949952,-794457886,4637
399949952,-794457886,4637
399949952,-794457886,4637
399949952,-794457886,4637
399949952,-794457886,4637
399949952,-794457886,4637
399949952,-794457886,4637
399949952,-794457886,4637
399949958,-794457897,4635
399949958,-794457897,4635
399949958,-794457897,4635
399949958,-794457897,4635
399949958,-794457897,4635
399949958,-794457897,4635
399949958,-794457897,4635
399949958,-794457897,4635
399949958,-794457897,4635
399949958,-794457897,4635
399949966,-794457910,4634
399949966,-794457910,4634
399949966,-794457910,4634
399949966,-794457910,4634
399949966,-794457910,4634
399949966,-794457910,4634
399949966,-794457910,4634
399949966,-794457910,4634
399949966,-794457910,4634
399949966,-794457910,4634
399949975,-794457923,4633
399949975,-794457923,4633
399949975,-794457923,4633
399949975,-794457923,4633
399949975,-794457923,4633
399949975,-794457923,4633
399949975,-794457923,4633
399949975,-794457923,4633
399949975,-794457923,4633
399949975,-794457923,4633
399949983,-794457935,4632
399949983,-794457935,4632
399949983,-794457935,4632
399949983,-794457935,4632
399949983,-794457935,4632
399949983,-794457935,4632
399949983,-794457935,4632
399949983,-794457935,4632
399949983,-794457935,4632
399949983,-794457935,4632
399949983,-794457935,4632
399949983,-794457935,4632
399949983,-794457935,4632
399949983,-794457935,4632
399949983,-794457935,4632
399949983,-794457935,4632
399949983,-794457935,4632
399949983,-794457935,4632
399949983,-794457935,4632
399949983,-794457935,4632
399949983,-794457935,4632
399949983,-794457935,4632
399949983,-794457935,4632
399949983,-794457935,4632
399949983,-794457935,4632
399949983,-794457935,4632
399949983,-794457935,4632
399949983,-794457935,4632
399949983,-794457935,4632
399949983,-794457935,4632
399949984,-794457935,4632
399949984,-794457935,4632
399949984,-794457935,4632
399949984,-794457935,4632
399949984,-794457935,4632
399949984,-794457935,4632
399949984,-794457935,4632
399949984,-794457935,4632
399949984,-794457935,4632
399949984,-794457935,4632
399949984,-794457935,4632
399949984,-794457935,4632
399949984,-794457935,4632
399949984,-794457935,4632
399949984,-794457935,4632
399949984,-794457935,4632
399949984,-794457935,4632
399949984,-794457935,4632
399949984,-794457935,4632
399949984,-794457935,4632
399949984,-794457935,4632
399949984,-794457935,4632
399949984,-794457935,4632
399949984,-794457935,4632
399949984,-794457935,4632
399949984,-794457935,4632
399949984,-794457935,4632
399949984,-794457935,4632
399949984,-794457935,4632
399949984,-794457935,4632
399949984,-794457936,4632
399949984,-794457936,4632
399949984,-794457936,4632
399949984,-794457936,4632
399949984,-794457936,4632
399949984,-794457936,4632
399949984,-794457936,4632
399949984,-794457936,4632
399949984,-794457936,4632
399949984,-794457936,4632
399949984,-794457936,4632
399949984,-794457936,4632
