lat,long,,lat,long
40.8631288,-77.8350582,,408631288,-778350581
40.8631288,-77.8350582,,408631288,-778350581
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.863126,-77.8350582,,408631260,-778350564
40.8631256,-77.8350582,,408631256,-778350560
40.8631252,-77.8350582,,408631252,-778350560
40.8631248,-77.8350582,,408631248,-778350556
40.8631243,-77.8350582,,408631243,-778350552
40.8631239,-77.8350582,,408631239,-778350550
40.8631233,-77.8350582,,408631233,-778350546
40.8631226,-77.8350582,,408631226,-778350544
40.8631222,-77.8350582,,408631222,-778350541
40.8631217,-77.8350582,,408631217,-778350538
40.863121,-77.8350582,,408631210,-778350545
40.8631205,-77.8350582,,408631205,-778350543
40.86312,-77.8350582,,408631200,-778350540
40.8631195,-77.8350582,,408631195,-778350537
40.8631192,-77.8350582,,408631192,-778350534
40.8631187,-77.8350582,,408631187,-778350533
40.8631183,-77.8350582,,408631183,-778350531
40.8631181,-77.8350582,,408631181,-778350527
40.8631176,-77.8350582,,408631176,-778350525
40.8631176,-77.8350582,,408631176,-778350525
40.8631161,-77.8350582,,408631161,-778350515
40.8631163,-77.8350582,,408631163,-778350515
40.8631162,-77.8350582,,408631162,-778350515
40.8631163,-77.8350582,,408631163,-778350516
40.8631165,-77.8350582,,408631165,-778350517
40.8631166,-77.8350582,,408631166,-778350518
40.8631164,-77.8350582,,408631164,-778350517
40.8631164,-77.8350582,,408631164,-778350518
40.8631163,-77.8350582,,408631163,-778350518
40.863116,-77.8350582,,408631160,-778350517
40.8631162,-77.8350582,,408631162,-778350506
40.8631162,-77.8350582,,408631162,-778350506
40.8631161,-77.8350582,,408631161,-778350506
40.8631161,-77.8350582,,408631161,-778350506
40.8631161,-77.8350582,,408631161,-778350506
40.8631161,-77.8350582,,408631161,-778350506
40.8631161,-77.8350582,,408631161,-778350506
40.8631161,-77.8350582,,408631161,-778350506
40.8631161,-77.8350582,,408631161,-778350506
40.8631161,-77.8350582,,408631161,-778350506
40.8631119,-77.8350582,,408631119,-778350481
40.8631111,-77.8350582,,408631111,-778350478
40.8631104,-77.8350582,,408631104,-778350474
40.8631097,-77.8350582,,408631097,-778350469
40.8631089,-77.8350582,,408631089,-778350465
40.863108,-77.8350582,,408631080,-778350459
40.8631073,-77.8350582,,408631073,-778350456
40.8631067,-77.8350582,,408631067,-778350450
40.8631061,-77.8350582,,408631061,-778350447
40.8631057,-77.8350582,,408631057,-778350443
