lat,long,elev
399956344,-794431484,4342
399956345,-794431607,4341
399956356,-794431714,4345
399956367,-794431858,4346
399956365,-794431986,4348
399956399,-794433092,4360
399956407,-794433375,4362
399956400,-794433657,4363
399956396,-794433947,4365
399956399,-794434088,4366
399956393,-794434232,4367
399956367,-794434385,4364
399956414,-794434654,4379
399956417,-794435253,4384
399956418,-794435406,4385
399956419,-794435562,4386
399956417,-794435712,4387
399956415,-794435867,4389
399956419,-794436018,4393
399956417,-794436172,4394
399956422,-794436321,4397
399956428,-794436482,4397
399956429,-794436635,4399
399956433,-794436782,4401
399956435,-794436939,4402
399956437,-794437091,4404
399956449,-794437254,4406
399956452,-794437405,4407
399956443,-794437567,4409
399956446,-794437725,4410
399956448,-794437880,4412
399956444,-794438033,4413
399956452,-794438194,4415
399956448,-794438347,4416
399956443,-794438501,4418
399956440,-794438655,4420
399956433,-794438807,4421
399956433,-794438960,4423
399956440,-794439126,4427
399956438,-794439283,4428
399956423,-794439428,4430
399956419,-794439582,4432
399956405,-794439735,4434
399956401,-794439886,4436
399956397,-794440049,4438
399956385,-794440194,4440
399956377,-794440345,4442
399956367,-794440499,4443
399956367,-794440499,4443
399956343,-794440812,4445
399956343,-794440812,4445
399956326,-794440959,4445
399956311,-794441107,4448
399956300,-794441259,4449
399956266,-794441569,4451
399956243,-794441735,4451
399956226,-794441888,4452
399956209,-794442047,4453
399956209,-794442047,4453
399956193,-794442191,4456
399956152,-794442327,4459
399956128,-794442486,4460
399956113,-794442634,4461
399956051,-794442924,4464
399956028,-794443084,4465
399956013,-794443249,4467
399955982,-794443397,4468
399955953,-794443550,4470
399955949,-794443698,4474
399955949,-794443698,4474
399955923,-794443858,4475
399955864,-794444157,4478
399955837,-794444305,4479
399955813,-794444455,4481
399955782,-794444615,4482
399955761,-794444766,4484
399955735,-794444925,4485
399955713,-794445078,4486
399955713,-794445078,4486
399955637,-794445178,4492
399955593,-794445315,4494
399955581,-794445471,4496
399955544,-794445624,4497
399955518,-794445774,4499
399955489,-794445932,4499
399955458,-794446089,4500
399955432,-794446251,4500
399955404,-794446406,4500
399955377,-794446566,4501
399955341,-794446772,4500
399955311,-794446938,4500
399955296,-794447084,4501
399955281,-794447237,4503
399955242,-794447383,4504
399955227,-794447534,4505
399955215,-794447686,4507
399955188,-794447847,4507
399955167,-794448004,4508
399955149,-794448166,4509
399955023,-794448191,4519
399954992,-794448338,4521
399954958,-794448476,4523
399954920,-794448618,4525
399954886,-794448761,4526
399954859,-794448900,4528
399954828,-794449045,4530
399954796,-794449189,4531
399954769,-794449334,4532
399954749,-794449478,4534
399954688,-794449602,4537
399954664,-794449741,4540
399954635,-794449887,4541
399954602,-794450037,4542
399954572,-794450183,4542
399954550,-794450328,4543
399954531,-794450480,4545
399954509,-794450624,4545
399954492,-794450779,4546
399954473,-794450929,4547
399954396,-794451035,4550
399954371,-794451172,4552
399954346,-794451317,4554
399954319,-794451463,4555
399954295,-794451610,4556
399954272,-794451750,4557
399954249,-794451901,4558
399954232,-794452048,4560
399954214,-794452204,4561
399954194,-794452350,4562
399954088,-794452430,4567
399954051,-794452558,4569
399954070,-794452731,4568
399954020,-794452855,4570
399953991,-794452982,4572
399953970,-794453106,4575
399953943,-794453244,4576
399953919,-794453376,4578
399953894,-794453508,4578
399953868,-794453647,4579
