lat,long,elev,
408467098,-802589062,2714,
408467098,-802589062,2714,
408467098,-802589062,2714,
408467098,-802589062,2714,
408467098,-802589062,2714,
408467098,-802589062,2714,
408467098,-802589062,2714,
408467098,-802589062,2714,
408467098,-802589062,2714,
408467098,-802589062,2714,
408467098,-802589062,2714,
408467098,-802589062,2714,
408467098,-802589062,2714,
408467098,-802589062,2714,
408467098,-802589062,2714,
408467098,-802589062,2714,
408467098,-802589062,2714,
408467098,-802589062,2714,
408467098,-802589061,2714,
408467098,-802589061,2714,
408467098,-802589061,2714,
408467098,-802589061,2714,
408467098,-802589061,2714,
408467098,-802589061,2714,
408467098,-802589061,2714,
408467098,-802589061,2714,
408467098,-802589061,2714,
408467098,-802589061,2714,
408467114,-802589050,2714,
408467123,-802589051,2714,
408467123,-802589051,2714,
408467128,-802589052,2714,
408467135,-802589053,2714,
408467140,-802589056,2714,
408467146,-802589058,2714,
408467153,-802589059,2714,
408467159,-802589061,2713,
408467166,-802589064,2714,
408467168,-802589083,2714,
408467177,-802589088,2713,
408467185,-802589091,2713,
408467193,-802589096,2714,
408467200,-802589098,2713,
408467210,-802589099,2713,
408467221,-802589104,2713,
408467228,-802589107,2713,
408467236,-802589108,2714,
408467246,-802589114,2714,
408467240,-802589098,2716,
408467254,-802589103,2716,
408467264,-802589106,2716,
408467274,-802589109,2717,
408467286,-802589111,2716,
408467299,-802589110,2716,
408467311,-802589115,2717,
408467324,-802589114,2717,
408467336,-802589117,2716,
408467350,-802589115,2716,
408467369,-802589095,2718,
408467381,-802589099,2718,
408467391,-802589098,2719,
408467407,-802589091,2719,
408467418,-802589086,2719,
408467430,-802589083,2719,
408467443,-802589081,2719,
408467454,-802589075,2719,
408467465,-802589069,2719,
408467479,-802589072,2718,
408467486,-802589053,2721,
408467498,-802589048,2721,
408467511,-802589043,2721,
408467523,-802589036,2721,
408467537,-802589028,2721,
408467546,-802589024,2721,
408467559,-802589017,2721,
408467568,-802589008,2721,
408467580,-802589000,2721,
408467588,-802588992,2721,
408467589,-802588992,2722,
408467598,-802588986,2722,
408467605,-802588977,2722,
408467610,-802588972,2722,
408467618,-802588968,2722,
408467625,-802588962,2722,
408467628,-802588955,2722,
408467634,-802588949,2722,
408467636,-802588950,2722,
408467638,-802588945,2722,
408467631,-802588935,2723,
408467632,-802588934,2722,
408467631,-802588933,2722,
408467630,-802588931,2723,
408467629,-802588932,2723,
408467629,-802588936,2723,
408467628,-802588933,2722,
408467628,-802588933,2723,
408467628,-802588935,2723,
408467628,-802588936,2723,
408467664,-802588884,2723,
408467662,-802588884,2723,
408467662,-802588885,2723,
408467662,-802588886,2723,
408467662,-802588884,2723,
408467662,-802588884,2723,
408467662,-802588887,2723,
408467661,-802588887,2722,
408467662,-802588886,2722,
408467661,-802588887,2722,
408467692,-802588826,2723,
408467692,-802588826,2723,
408467692,-802588826,2723,
408467692,-802588826,2723,
408467692,-802588826,2723,
408467692,-802588826,2723,
408467692,-802588826,2723,
408467692,-802588826,2723,
408467692,-802588826,2723,
408467692,-802588826,2723,
408467701,-802588819,2723,
408467701,-802588818,2723,
408467701,-802588818,2723,
408467701,-802588819,2723,
408467701,-802588819,2723,
408467701,-802588819,2723,
408467701,-802588819,2723,
408467701,-802588819,2723,
408467701,-802588819,2723,
408467701,-802588819,2723,
408467701,-802588818,2723,
408467701,-802588818,2723,
408467701,-802588818,2723,
408467701,-802588818,2723,
408467701,-802588818,2723,
408467701,-802588818,2723,
408467701,-802588818,2723,
408467701,-802588818,2723,
408467701,-802588818,2723,
408467701,-802588818,2723,
408467710,-802588830,2724,
408467707,-802588835,2724,
408467705,-802588845,2724,
408467702,-802588851,2724,
408467701,-802588859,2724,
408467698,-802588866,2724,
408467696,-802588877,2724,
408467691,-802588888,2724,
408467689,-802588902,2724,
408467687,-802588919,2724,
408467705,-802588895,2723,
408467701,-802588914,2723,
408467699,-802588936,2723,
408467696,-802588958,2723,
408467693,-802588985,2723,
408467689,-802589007,2723,
408467685,-802589034,2723,
408467684,-802589063,2723,
408467681,-802589092,2723,
408467678,-802589125,2723,
408467659,-802589162,2724,
408467657,-802589197,2723,
408467656,-802589230,2723,
408467655,-802589268,2723,
408467653,-802589305,2723,
408467655,-802589346,2724,
408467648,-802589382,2723,
408467647,-802589422,2723,
408467646,-802589465,2723,
408467643,-802589509,2723,
408467634,-802589565,2724,
408467634,-802589617,2724,
408467634,-802589617,2724,
408467629,-802589662,2724,
408467628,-802589710,2724,
408467623,-802589760,2724,
408467623,-802589813,2724,
408467621,-802589865,2724,
408467619,-802589920,2724,
408467617,-802589973,2724,
408467618,-802590030,2724,
408467617,-802590077,2726,
408467617,-802590139,2726,
408467612,-802590194,2726,
408467610,-802590252,2726,
408467609,-802590312,2726,
408467605,-802590369,2726,
408467604,-802590432,2726,
408467601,-802590495,2726,
408467601,-802590561,2726,
408467596,-802590622,2726,
408467582,-802590694,2725,
408467579,-802590761,2725,
408467579,-802590832,2725,
408467576,-802590902,2725,
408467574,-802590972,2725,
408467572,-802591044,2725,
408467570,-802591119,2725,
408467569,-802591193,2725,
408467565,-802591266,2725,
408467563,-802591341,2725,
408467556,-802591422,2726,
408467555,-802591501,2726,
408467552,-802591580,2726,
408467550,-802591659,2726,
408467547,-802591739,2726,
408467546,-802591820,2726,
408467542,-802591901,2726,
408467539,-802591983,2726,
408467537,-802592065,2726,
408467535,-802592149,2726,
408467534,-802592232,2727,
408467533,-802592323,2727,
408467532,-802592406,2727,
408467530,-802592491,2727,
408467530,-802592581,2727,
408467526,-802592667,2727,
408467523,-802592754,2727,
408467520,-802592841,2727,
408467518,-802592931,2727,
408467517,-802593021,2727,
408467515,-802593118,2728,
408467513,-802593211,2728,
408467511,-802593304,2728,
408467510,-802593397,2728,
408467506,-802593488,2728,
408467504,-802593585,2728,
408467502,-802593676,2728,
408467499,-802593771,2728,
408467497,-802593862,2728,
408467495,-802593955,2728,
408467486,-802594050,2727,
408467486,-802594146,2727,
408467482,-802594236,2727,
408467481,-802594330,2727,
408467482,-802594426,2727,
408467479,-802594517,2727,
408467478,-802594612,2727,
408467475,-802594700,2727,
408467475,-802594796,2727,
408467476,-802594891,2727,
408467477,-802594994,2726,
408467476,-802595088,2726,
408467476,-802595183,2727,
408467474,-802595276,2727,
408467472,-802595369,2727,
408467475,-802595468,2727,
408467472,-802595563,2727,
408467468,-802595658,2727,
408467470,-802595757,2727,
408467471,-802595854,2727,
408467454,-802595947,2726,
408467455,-802596044,2727,
408467451,-802596141,2726,
408467450,-802596236,2726,
408467449,-802596338,2726,
408467450,-802596436,2726,
408467447,-802596536,2726,
408467447,-802596634,2726,
408467445,-802596732,2726,
408467448,-802596836,2726,
408467442,-802596935,2727,
408467442,-802597037,2727,
408467442,-802597139,2727,
408467440,-802597240,2727,
408467441,-802597342,2727,
408467441,-802597444,2727,
408467439,-802597544,2727,
408467439,-802597647,2727,
408467438,-802597747,2727,
408467438,-802597851,2727,
408467438,-802597960,2727,
408467437,-802598062,2727,
408467436,-802598167,2727,
408467435,-802598267,2727,
408467439,-802598376,2727,
408467440,-802598479,2727,
408467439,-802598580,2727,
408467443,-802598689,2727,
408467439,-802598793,2727,
408467437,-802598898,2726,
408467435,-802599009,2727,
408467437,-802599116,2727,
