lat,long,elev,
404419630,-797609600,3264,
404419630,-797609600,3264,
404419630,-797609600,3264,
404419630,-797609600,3264,
404419630,-797609600,3264,
404419630,-797609600,3264,
404419630,-797609600,3264,
404419630,-797609600,3264,
404419630,-797609600,3264,
404419630,-797609600,3264,
404419630,-797609600,3264,
404419630,-797609600,3264,
404419630,-797609600,3264,
404419630,-797609600,3264,
404419630,-797609600,3264,
404419630,-797609600,3264,
404419630,-797609600,3264,
404419630,-797609600,3264,
404419630,-797609600,3264,
404419630,-797609600,3264,
404419630,-797609600,3264,
404419630,-797609600,3264,
404419630,-797609600,3264,
404419630,-797609600,3264,
404419630,-797609600,3264,
404419630,-797609600,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609602,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609601,3264,
404419630,-797609600,3264,
404419630,-797609600,3264,
404419630,-797609600,3264,
404419630,-797609600,3264,
404419630,-797609600,3264,
404419630,-797609600,3264,
404419630,-797609600,3264,
404419630,-797609600,3264,
404419630,-797609600,3264,
