lat,long,elev,
408465176,-802629496,2715,
408465113,-802629437,2716,
408465052,-802629387,2716,
408465052,-802629387,2716,
408464997,-802629336,2716,
408464939,-802629278,2716,
408464885,-802629220,2716,
408464834,-802629155,2717,
408464783,-802629093,2717,
408464734,-802629022,2717,
408464682,-802628951,2717,
408464626,-802628921,2716,
408464582,-802628828,2716,
408464537,-802628746,2716,
408464496,-802628659,2716,
408464453,-802628572,2716,
408464416,-802628478,2716,
408464381,-802628386,2717,
408464349,-802628287,2717,
408464317,-802628187,2717,
408464285,-802628082,2717,
408464253,-802628006,2716,
408464233,-802627889,2717,
408464212,-802627778,2717,
408464193,-802627673,2717,
408464175,-802627559,2717,
408464159,-802627444,2718,
408464146,-802627330,2718,
408464135,-802627213,2718,
408464121,-802627094,2719,
408464109,-802626976,2719,
408464083,-802626879,2718,
408464081,-802626750,2719,
408464071,-802626630,2719,
408464064,-802626507,2720,
408464059,-802626384,2721,
408464050,-802626257,2721,
408464045,-802626134,2721,
408464037,-802626006,2721,
408464030,-802625881,2721,
408464021,-802625748,2721,
408463982,-802625626,2721,
408463978,-802625492,2721,
408463972,-802625364,2721,
408463962,-802625235,2721,
408463955,-802625102,2722,
408463946,-802624967,2722,
408463939,-802624836,2722,
408463931,-802624703,2722,
408463922,-802624566,2722,
408463912,-802624431,2723,
408463887,-802624304,2722,
408463879,-802624164,2721,
408463870,-802624027,2722,
408463860,-802623887,2723,
408463851,-802623749,2723,
408463843,-802623605,2723,
408463833,-802623462,2723,
408463823,-802623321,2723,
408463814,-802623180,2724,
408463807,-802623032,2724,
408463785,-802622878,2723,
408463776,-802622730,2724,
408463767,-802622579,2724,
408463756,-802622434,2724,
408463750,-802622282,2724,
408463740,-802622133,2725,
408463731,-802621981,2724,
408463722,-802621828,2725,
408463712,-802621675,2726,
408463703,-802621518,2726,
408463687,-802621369,2727,
408463681,-802621209,2727,
408463669,-802621054,2727,
408463660,-802620897,2727,
408463654,-802620740,2727,
408463646,-802620582,2728,
408463636,-802620420,2728,
408463628,-802620261,2728,
408463617,-802620096,2728,
408463609,-802619937,2729,
408463597,-802619774,2729,
408463588,-802619612,2730,
408463583,-802619441,2730,
408463574,-802619279,2730,
408463567,-802619112,2730,
408463559,-802618941,2731,
408463553,-802618775,2731,
408463544,-802618604,2731,
408463537,-802618435,2731,
408463531,-802618266,2732,
408463509,-802618087,2731,
408463502,-802617913,2731,
408463495,-802617741,2732,
408463489,-802617568,2732,
408463480,-802617390,2733,
408463474,-802617219,2733,
408463468,-802617039,2733,
408463460,-802616862,2733,
408463454,-802616685,2733,
408463448,-802616508,2733,
408463444,-802616324,2734,
408463439,-802616138,2734,
408463431,-802615959,2735,
408463426,-802615778,2735,
408463420,-802615594,2735,
408463416,-802615405,2734,
408463411,-802615227,2735,
408463406,-802615035,2734,
408463407,-802614850,2735,
408463400,-802614661,2734,
408463385,-802614461,2733,
408463383,-802614272,2734,
408463381,-802614082,2733,
408463379,-802613892,2734,
408463378,-802613699,2734,
408463376,-802613510,2735,
408463374,-802613316,2735,
408463373,-802613124,2736,
408463372,-802612931,2736,
408463372,-802612733,2736,
408463364,-802612545,2736,
408463363,-802612343,2735,
408463361,-802612152,2736,
408463361,-802611954,2737,
408463360,-802611750,2736,
408463359,-802611553,2737,
408463358,-802611359,2738,
408463356,-802611165,2738,
408463356,-802610962,2738,
408463355,-802610761,2738,
408463347,-802610563,2738,
408463346,-802610363,2739,
408463346,-802610159,2738,
408463347,-802609959,2739,
408463346,-802609758,2740,
408463346,-802609555,2741,
408463346,-802609352,2741,
408463346,-802609144,2741,
408463346,-802608940,2741,
408463346,-802608737,2741,
408463335,-802608533,2742,
408463337,-802608327,2743,
408463337,-802608117,2743,
408463338,-802607909,2743,
408463339,-802607701,2744,
408463341,-802607495,2743,
408463344,-802607281,2743,
408463346,-802607079,2744,
408463349,-802606861,2744,
408463354,-802606651,2744,
408463347,-802606441,2745,
408463347,-802606234,2745,
408463350,-802606018,2745,
408463351,-802605805,2746,
408463352,-802605592,2746,
408463357,-802605373,2746,
408463358,-802605163,2746,
408463360,-802604946,2746,
408463366,-802604736,2746,
408463370,-802604518,2747,
408463362,-802604317,2748,
408463365,-802604095,2748,
408463368,-802603883,2748,
408463373,-802603671,2748,
408463376,-802603448,2747,
408463377,-802603236,2748,
408463380,-802603016,2748,
408463383,-802602800,2748,
408463388,-802602581,2748,
408463390,-802602364,2748,
408463385,-802602146,2749,
408463388,-802601925,2749,
408463389,-802601707,2749,
408463393,-802601488,2749,
408463398,-802601262,2749,
408463400,-802601047,2750,
408463399,-802600825,2750,
408463406,-802600382,2750,
408463407,-802600155,2750,
408463404,-802599949,2751,
408463407,-802599723,2751,
408463411,-802599500,2751,
408463417,-802599053,2752,
408463418,-802598825,2752,
408463421,-802598602,2751,
408463424,-802598376,2752,
408463427,-802598149,2752,
408463430,-802597923,2752,
408463423,-802597708,2753,
408463425,-802597476,2752,
408463434,-802596796,2753,
408464280,-802573647,2802,
408464131,-802582096,2785,
408464109,-802583502,2783,
408464096,-802584675,2781,
408464095,-802585619,2780,
408464082,-802587484,2779,
408464082,-802587717,2779,
408464078,-802587949,2779,
408464079,-802588175,2778,
408464071,-802588635,2778,
408464061,-802589547,2777,
408464058,-802590003,2777,
408464052,-802590452,2777,
408464049,-802590899,2777,
408464044,-802591125,2777,
408464047,-802591348,2777,
408464044,-802591574,2777,
408464043,-802591795,2776,
408464044,-802592020,2776,
408464044,-802592242,2776,
408464043,-802592463,2776,
408464047,-802592693,2775,
408464047,-802592912,2776,
408464045,-802593137,2775,
408464045,-802593358,2775,
408464046,-802593581,2775,
408464042,-802593803,2775,
408464044,-802594026,2775,
408464045,-802594247,2773,
408464044,-802594467,2773,
408464041,-802594688,2773,
408464045,-802594911,2772,
408464047,-802595128,2773,
408464045,-802595348,2773,
408464047,-802595572,2772,
408464047,-802595796,2772,
408464045,-802596012,2772,
408464045,-802596232,2773,
408464045,-802596452,2773,
408464044,-802596672,2772,
408464044,-802596889,2772,
408464042,-802597109,2772,
408464041,-802597330,2771,
408464043,-802597545,2771,
408464043,-802597769,2771,
408464042,-802597984,2771,
408464045,-802598206,2771,
408464046,-802598423,2771,
408464047,-802598642,2771,
408464047,-802598860,2771,
408464048,-802599079,2770,
408464049,-802599299,2770,
408464052,-802599514,2771,
408464047,-802599732,2770,
408464053,-802599951,2770,
408464054,-802600169,2770,
408464060,-802600389,2769,
408464060,-802600606,2769,
408464063,-802600824,2769,
408464064,-802601040,2769,
408464068,-802601258,2769,
408464070,-802601474,2770,
408464075,-802601689,2769,
408464077,-802601908,2769,
408464081,-802602122,2769,
408464085,-802602344,2769,
408464088,-802602557,2769,
408464092,-802602777,2768,
408464097,-802602998,2768,
408464102,-802603211,2768,
408464104,-802603433,2767,
408464106,-802603636,2768,
408464110,-802603854,2769,
408464118,-802604074,2768,
408464121,-802604289,2768,
408464129,-802604507,2768,
408464131,-802604721,2768,
408464139,-802604943,2767,
408464141,-802605156,2767,
408464146,-802605374,2767,
408464150,-802605586,2767,
408464161,-802605806,2766,
408464166,-802606021,2766,
408464170,-802606235,2766,
408464177,-802606450,2765,
408464182,-802606660,2765,
408464185,-802606872,2765,
408464191,-802607082,2765,
408464192,-802607296,2765,
408464197,-802607507,2764,
