lat,long,elev,
404419747,-797609691,3261,
404419747,-797609691,3261,
404419747,-797609691,3261,
404419747,-797609691,3261,
404419747,-797609691,3261,
404419747,-797609691,3261,
404419747,-797609691,3261,
404419747,-797609691,3261,
404419747,-797609691,3261,
404419747,-797609691,3261,
404419745,-797609690,3261,
404419745,-797609690,3261,
404419745,-797609690,3261,
404419745,-797609690,3261,
404419745,-797609690,3261,
404419745,-797609690,3261,
404419745,-797609690,3261,
404419745,-797609690,3261,
404419745,-797609690,3261,
404419745,-797609690,3261,
404419750,-797609688,3261,
404419750,-797609688,3261,
404419750,-797609688,3261,
404419750,-797609688,3261,
404419750,-797609688,3261,
404419750,-797609688,3261,
404419750,-797609688,3261,
404419750,-797609688,3261,
404419750,-797609688,3261,
404419750,-797609688,3261,
404419752,-797609669,3259,
404419752,-797609669,3259,
404419752,-797609669,3259,
404419752,-797609669,3259,
404419752,-797609669,3259,
404419752,-797609669,3259,
404419752,-797609670,3259,
404419752,-797609669,3259,
404419752,-797609669,3259,
404419752,-797609669,3259,
404419752,-797609669,3259,
404419752,-797609669,3259,
404419752,-797609669,3259,
404419752,-797609669,3259,
404419752,-797609669,3259,
404419752,-797609669,3259,
404419752,-797609669,3259,
404419752,-797609669,3259,
404419752,-797609669,3259,
404419752,-797609669,3259,
404419754,-797609657,3258,
404419754,-797609657,3258,
404419754,-797609657,3258,
404419754,-797609657,3258,
404419754,-797609657,3258,
404419754,-797609657,3258,
404419754,-797609657,3258,
404419754,-797609657,3258,
404419754,-797609657,3258,
404419754,-797609657,3258,
404419757,-797609643,3257,
404419757,-797609643,3257,
404419757,-797609643,3257,
404419757,-797609643,3257,
404419757,-797609643,3257,
404419757,-797609643,3257,
404419757,-797609643,3257,
404419757,-797609643,3257,
404419757,-797609643,3257,
404419757,-797609643,3257,
404419758,-797609628,3255,
404419758,-797609628,3255,
404419758,-797609628,3255,
404419758,-797609628,3255,
404419758,-797609628,3255,
404419758,-797609628,3255,
404419758,-797609628,3255,
404419758,-797609628,3255,
404419758,-797609628,3255,
404419758,-797609628,3255,
404419759,-797609626,3255,
404419759,-797609626,3255,
404419759,-797609626,3255,
404419759,-797609626,3255,
404419759,-797609626,3255,
404419759,-797609626,3255,
404419759,-797609626,3255,
404419759,-797609626,3255,
404419759,-797609626,3255,
404419759,-797609626,3255,
404419764,-797609606,3253,
404419764,-797609606,3253,
404419764,-797609606,3253,
404419764,-797609606,3253,
404419764,-797609606,3253,
404419764,-797609606,3253,
404419764,-797609606,3253,
404419764,-797609606,3253,
404419764,-797609606,3253,
404419764,-797609606,3253,
404419768,-797609591,3251,
404419768,-797609591,3251,
404419768,-797609591,3251,
404419768,-797609591,3251,
404419768,-797609591,3251,
404419768,-797609591,3251,
404419768,-797609591,3251,
404419768,-797609591,3251,
404419768,-797609591,3251,
404419768,-797609591,3251,
404419768,-797609565,3248,
404419768,-797609565,3248,
404419768,-797609565,3248,
404419768,-797609565,3248,
404419768,-797609565,3248,
404419768,-797609565,3248,
404419768,-797609565,3248,
404419768,-797609565,3248,
404419768,-797609565,3248,
404419768,-797609565,3248,
404419787,-797609500,3245,
404419791,-797609490,3245,
404419792,-797609475,3246,
404419794,-797609464,3246,
404419801,-797609451,3245,
404419801,-797609437,3245,
404419806,-797609421,3246,
404419811,-797609408,3245,
404419816,-797609393,3246,
404419820,-797609377,3246,
404419797,-797609379,3246,
404419805,-797609358,3246,
404419812,-797609343,3246,
404419820,-797609326,3246,
404419832,-797609302,3246,
404419843,-797609284,3247,
404419851,-797609263,3247,
404419867,-797609244,3246,
404419874,-797609220,3247,
404419895,-797609196,3246,
404419923,-797609142,3247,
404419940,-797609115,3247,
404419960,-797609093,3247,
404419975,-797609066,3247,
404419998,-797609042,3247,
404420015,-797609017,3247,
404420031,-797608993,3247,
404420051,-797608966,3247,
404420070,-797608940,3246,
404420083,-797608908,3247,
404420101,-797608883,3246,
404420127,-797608859,3246,
404420147,-797608828,3246,
404420168,-797608807,3246,
404420190,-797608781,3246,
404420213,-797608754,3246,
404420234,-797608729,3246,
404420250,-797608702,3246,
404420268,-797608678,3246,
404420289,-797608649,3246,
404420290,-797608638,3250,
404420311,-797608618,3250,
404420330,-797608597,3250,
404420352,-797608575,3250,
404420373,-797608555,3250,
404420393,-797608532,3249,
